title_name,realease_date,price,description,title_review,title_rating,developer,publisher,game_tags
"ELDEN RING","Feb 24 2022","5999.0","THE NEW FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Very Positive","(257,364)","FromSoftware Inc.","FromSoftware Inc., BANDAI NAMCO Entertainment","Souls-like,Dark Fantasy,Relaxing,RPG,Difficult,Action RPG,Third Person,Multiplayer,Fantasy,Online Co-Op,Action,Singleplayer,Open World,Co-op,PvP,Violent,3D,Atmospheric,Great Soundtrack,Walking Simulator,+"
"Core Keeper","Mar 8 2022","1299.0","Explore an endless cavern of creatures, relics and resources in a mining sandbox adventure for 1-8 players. Mine, build, fight, craft and farm to unravel the mystery of the ancient Core.","Very Positive","(4,442)","Pugstorm","Fireshine Games","Early Access,Online Co-Op,Pixel Graphics,Adventure,Sandbox,2D,Procedural Generation,Relaxing,Casual,Dungeon Crawler,Farming Sim,Cooking,Simulation,Exploration,Atmospheric,Crafting,Survival,Building,Mining,Mystery,+"
"Valve Index VR Kit","Jun 28 2019","99900.0","NA","NA","NA","NA","NA","NA"
"MONSTER HUNTER RISE","Jan 12 2022","3959.0","Rise to the challenge and join the hunt! In Monster Hunter Rise, the latest installment in the award-winning and top-selling Monster Hunter series, you’ll become a hunter, explore brand new maps and use a variety of weapons to take down fearsome monsters as part of an all-new storyline.","Very Positive","(1,842)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Action,JRPG,RPG,Online Co-Op,Action RPG,Co-op,Hunting,Multiplayer,Third Person,Singleplayer,Souls-like,Character Customization,Anime,PvE,Fantasy,Nature,3D,Story Rich,Atmospheric,Ninja,+"
"WWE 2K22","Mar 11 2022","5999.0","REDESIGNED ENGINE. NEW CONTROLS. ALL THE FEATURES YOU CAN HANDLE. Get ripped out of the stands and hit with complete control of the WWE Universe. Hitting this hard has never been so easy. WWE 2K22: IT HITS DIFFERENT","Mostly Positive","(1,693)","Visual Concepts","2K","Simulation,Sports,PvP,Local Co-Op,Wrestling,Co-op,Multiplayer,Local Multiplayer,Online Co-Op,Fighting,Character Customization,+"
"Risk of Rain 2: Survivors of the Void","Mar 1 2022","1499.0","None","Very Positive","(3,305)","Hopoo Games","Gearbox Publishing","Action,Indie,Great Soundtrack,Action Roguelike,Co-op,Multiplayer,Third-Person Shooter,Roguelike,Looter Shooter,Survival,Singleplayer,Difficult,+"
"Ready or Not","Dec 17 2021","3999.0","Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","Very Positive","(3,458)","VOID Interactive","VOID Interactive","Tactical,Realistic,FPS,Multiplayer,Shooter,First-Person,Co-op,Action,Singleplayer,Violent,Crime,Combat,Gun Customization,Modern,Gore,America,Atmospheric,Co-op Campaign,PvP,Early Access,+"
"TUNIC","Mar 16 2022","2999.0","Explore a land filled with lost legends, ancient powers, and ferocious monsters in TUNIC, an isometric action game about a small fox on a big adventure.","Very Positive","(592)","TUNIC Team","Finji","Exploration,RPG,Metroidvania,Souls-like,Puzzle,Difficult,Action-Adventure,Action RPG,Cute,3D,Isometric,Top-Down,Controller,Nonlinear,Action,Colorful,Stylized,Family Friendly,Fantasy,Atmospheric,+"
"Dying Light 2 Stay Human","Feb 4 2022","5999.0","The virus won and civilization has fallen back to the Dark Ages. The City, one of the last human settlements, is on the brink of collapse. Use your agility and combat skills to survive, and reshape the world. Your choices matter.","Mostly Positive","(16,031)","Techland","Techland","Open World,Zombies,Co-op,Parkour,Multiplayer,Survival,Action,First-Person,Horror,Gore,Post-apocalyptic,Violent,Choices Matter,RPG,Adventure,Story Rich,Atmospheric,Singleplayer,Survival Horror,FPS,+"
"LEGO® Star Wars™: The Skywalker Saga","Apr 5 2022","4999.0","Play through all nine Star Wars saga films in a brand-new LEGO video game unlike any other. Experience fun-filled adventures, whimsical humor, and the freedom to fully immerse yourself in the LEGO Star Wars galaxy.","['No user reviews']","0","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment","LEGO,Adventure,Open World,Multiplayer,Action,Space,Co-op,Sci-fi,Singleplayer,Funny,Third Person,Local Co-Op,Story Rich,Family Friendly,Epic,Great Soundtrack,Memes,Beautiful,Psychological Horror,Puzzle,+"
